sat_name,physical_channel,proxy_nickname,proxy_receive_time,server_receive_time,raw_data
DSLWP-B,13,YL3CT,2018-07-14 17:01:00.000,2018-07-30 05:22:51.545,BJ1SNJ80B0PD0
DSLWP-B,13,YL3CT,2018-07-14 17:21:00.000,2018-07-30 05:23:43.915,BJ1SNJ8080PDK
DSLWP-B,13,PA0DLO,2018-07-14 23:51:00.000,2018-07-30 22:59:20.176,BJ1SNJ86D0PDK
DSLWP-B,13,PA0DLO,2018-07-15 00:41:00.000,2018-07-30 22:59:58.306,BJ1SNJ86A0PD9
DSLWP-B,13,PA0DLO,2018-07-15 00:51:00.000,2018-07-30 23:00:20.285,BJ1SNJ8670PDJ
DSLWP-B,13,PA0DLO,2018-07-16 00:41:00.000,2018-07-30 23:01:50.953,BJ1SNJ8661PDA
DSLWP-B,13,PA0DLO,2018-07-16 00:51:00.000,2018-07-30 23:02:12.661,BJ1SNJ86A1PDK
DSLWP-B,13,PA0DLO,2018-07-16 01:01:00.000,2018-07-30 23:02:43.663,BJ1SNJ86B1PDT
DSLWP-B,13,PA0DLO,2018-07-16 00:20:00.000,2018-07-30 23:00:58.407,BJ1SNJ86A1PDJ
DSLWP-B,13,PA0DLO,2018-07-16 00:30:00.000,2018-07-30 23:01:24.088,BJ1SNJ8681PDT
DSLWP-B,13,PA0DLO,2018-07-16 01:05:00.000,2018-07-30 23:03:11.000,DK5LA TEST
DSLWP-B,13,PA0DLO,2018-07-16 01:11:00.000,2018-07-30 23:03:33.250,BJ1SNI86G2PD9
DSLWP-B,13,PA0DLO,2018-07-16 01:21:00.000,2018-07-30 23:03:57.656,BJ1SNI86C2PDJ
DSLWP-B,13,PA0DLO,2018-07-16 01:31:00.000,2018-07-30 23:04:19.111,BJ1SNI86A2PD0
DSLWP-B,13,PA0DLO,2018-07-16 01:41:00.000,2018-07-30 23:04:43.260,BJ1SNI86C2PDA
DSLWP-B,13,PA0DLO,2018-07-16 01:51:00.000,2018-07-30 23:05:10.718,BJ1SNI86D2PDJ
DSLWP-B,13,BG6LQV,2018-07-28 23:33:00.000,2018-07-30 23:33:35.776,testesttest
DSLWP-B,13,N6RFM,2018-07-16 05:41:00.000,2018-08-01 10:42:58.418,BJ1SNI86C2PDA
DSLWP-B,13,N6RFM,2018-07-16 05:51:00.000,2018-08-01 10:43:17.051,BJ1SNI86D2PDJ
DSLWP-B,13,VK5EI,2018-08-04 07:50:00.000,2018-08-04 07:55:39.737,BJ1SNI86FOODJ
DSLWP-B,13,VK5EI,2018-08-03 08:21:00.000,2018-08-04 08:24:39.206,BJ1SNI8682ODJ
DSLWP-B,13,VK5EI,2018-08-03 08:31:00.000,2018-08-04 08:33:52.291,BJ1SNI86B2OD0
DSLWP-B,13,VK5EI,2018-08-03 08:00:00.000,2018-08-04 08:01:48.813,BJ1SNI86BOODT
DSLWP-B,13,VK5EI,2018-08-03 08:10:00.000,2018-08-04 08:15:03.581,BJ1SNI86A2ODA
DSLWP-B,13,VK5EI,2018-08-04 08:41:00.000,2018-08-04 08:43:08.711,BJ1SNI86C2ODA
DSLWP-B,13,VK5EI,2018-08-04 09:01:00.000,2018-08-04 09:07:47.185,BJ1SNI86D2ODO
DSLWP-B,13,VK5EI,2018-08-04 09:11:00.000,2018-08-04 09:14:34.482,BJ1SNI8682ODA
DSLWP-B,13,VK5EI,2018-08-04 09:21:00.000,2018-08-04 09:22:42.257,BJ1SNI8652PDJ
DSLWP-B,13,VK5EI,2018-08-04 08:52:00.000,2018-08-04 08:52:52.871,BJ1SNI86F2ODJ
DSLWP-B,13,PA0DLO,2018-08-04 16:50:00.000,2018-08-04 18:25:37.331,BJ1SNJ86B0PAJ
